Time,Temperature,,
320,33.9008,,
321,33.476,,
322,33.8288,,
323,33.2708,,
324,33.2654,,
325,33.6704,,
326,33.6758,,
327,33.305,,
328,34.0718,,
329,34.7792,,
330,34.1312,,
331,34.475,,
332,33.6884,,
333,33.485,,
334,33.3518,,
335,33.9026,,
336,34.5056,,
337,33.152,,
338,33.233,,
339,33.053,,
340,33.2996,,
341,35.2616,,
342,34.25,,
343,34.421,,
344,33.989,,
345,33.2366,,
346,33.485,,
347,33.4796,,
348,33.5336,,
349,33.0746,,
350,33.9098,,
351,32.9594,,
352,33.0278,,
353,33.6866,,
354,33.3212,, 
355,34.4948,,
356,33.9692,,
357,34.2698,,
358,32.9648,,
359,33.062,,
360,32.9018,,
